Congratulations your awarded either a years supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net ?œ1.50pm approx 3mins,False
What do you want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,True
Ranjith cal drpd Deeraj and deepak five min hold.,True
Hey leave it. not a big deal. take care.,False
"hello sir this is your axis bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",True
Thanks for e brownie it's very nice...,False
Geeeee ... I love you so much I can barely stand it.,False
No problem. I will send to your email.,False
Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,True
"Both, i shoot big loads so get ready!",False
"""AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPeaK to you LOTS OF LOVEJEN XXX.""",False
Pick you up bout 7.30ish? What time are  and that going?,False
But i am going to college pa. What to do. are else ill come there it self. Pa.,False
"Ya, told..she was asking whats matter?",False
"hello sir, i am from bank of baroda, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number.",True
Nope watching tv at home... Not going out. V bored...,False
hi baby im cruisin with my girl friend what are you up to? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx.,False
PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,False
"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",False
Thats cool! Sometimes slow and gentle. Sometimes rough and hard.,True
what is your  bank account number?,False
"Probably gonna be here for a while, see you later tonight &lt;)",False
"SMSSERVICES. for your inclusive text credits, please goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge.",False
Fine i miss you very much.,False
Beerage?,False
You have WON a guaranteed ?œ1000 cash or a ?œ2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,False
"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",False
your cash-balance is currently 500 pounds - to maximize your cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,False
"Sorry,in meeting I'll call later",False
For taking part in our mobile survey yesterday! You can now have 500 texts to use however you wish. to get txts just send TeXT to 80160 T&C www.txt43.com 1.50p,False
"Coffee cake, i guess.",False
"Since when, which side, any fever, any vomitin.",False
"hello sir, i am from bank please tell me your card cvv number for your bank verification.",True
Ok.,False
You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,True
For my family happiness..,False
Got it. Seventeen pounds for seven hundred ml ƒ?? hope ok.,False
"Awesome, lemme know whenever you're around.",False
Am not interested to do like that.,False
"""AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPeaK to you LOTS OF LOVEJEN XXX.""",False
Then you drive lor.,False
Keep my payasam there if rinu brings.,False
"hello sir this is your sbi bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",True
"hello sir this is your allahabad bank manager. your kyc has been expired.so you have to kyc your self, but due to covid setuation we are doing kyc online, pleae tell me your account detail.",True
"hello sir, Are you using bhim/upi , sir you have to upgrate your bhim/upi othr wise you account will be block.",True
"hello sir, tell me your credit/debit card mobile number and aadhar card.",True
hello i am from income text department you have not registered your aadhar to your pan card. please tell me your aadhar number to coonect to your pan card.,True
"hello sir, i am from bank please tell me your card cvv number for your bank verification.",True
"hello sir, i am from union bank, sir i have call you for your bank account verification do you want verify your account. sir then tell me your aadhar card number and pan card and your debit/credit card number.",True
